name,url,format,license_as_stated,downloadable_now,file_size,notes
GrabCAD Dynamometer (SketchUp / Most Liked),https://grabcad.com/library?softwares=google-sketchup&sort=most_liked&tags=dynamometer,"SKP, STEP, IGES",GrabCAD Community Terms of Use,NO,Varies (5 MB - 30 MB),Test bench dyno models; requires GrabCAD account login; personal/eval terms ambiguous for commercial projects.
GrabCAD Dynamometer (SolidWorks / Most Downloaded),https://grabcad.com/library?softwares=solidworks&sort=most_downloaded&tags=dynamometer,"SLDPRT, SLDASM, STEP",GrabCAD Community Terms of Use,NO,Varies (5 MB - 50 MB),SolidWorks dynamometer test assemblies; GrabCAD login required; terms ambiguous on commercial rights.
GrabCAD Gate Valve Models,https://grabcad.com/library?page=1&time=all_time&query=gate%20valve,"STEP, IGES, SLDPRT",GrabCAD Community Terms of Use,NO,Varies (1 MB - 20 MB),Industrial gate valve CAD models; requires GrabCAD login; terms ambiguous for commercial use.
GrabCAD Globe Valve Models,https://grabcad.com/library?query=Globe+valve+,"STEP, IGES, SLDPRT",GrabCAD Community Terms of Use,NO,Varies (1 MB - 20 MB),Globe valve CAD assemblies for ESV/TV valve body modeling; requires GrabCAD login; terms ambiguous for commercial use.
GrabCAD Valve (STEP/IGES / Most Downloaded),https://grabcad.com/library?page=4&softwares=step-slash-iges&sort=most_downloaded&tags=valve,"STEP, IGES",GrabCAD Community Terms of Use,NO,Varies (2 MB - 25 MB),Neutral CAD valve models; requires GrabCAD login; commercial rights ambiguous under community terms.
GrabCAD Valve Tag Collection,https://grabcad.com/library/tag/valve,"STEP, IGES, SLDPRT, STL",GrabCAD Community Terms of Use,NO,Varies (1 MB - 30 MB),Valve CAD repository; GrabCAD requires login and terms are ambiguous for commercial use.
ANSI/ISA-5.1-2024 Instrumentation Symbols (ANSI Blog),https://blog.ansi.org/ansi/ansi-isa-5-1-2024-instrumentation-symbols/,"HTML, Technical Article",Copyright ANSI (Educational article),NO,N/A (Webpage),"Technical reference explaining ISA-5.1 tag semantics (PT, TT, FT, ZT, XT) and bubble symbology for ThingsBoard 2D overlay layer."
Kimray Oil & Gas P&ID Reference Guide,https://kimray.com/sites/default/files/uploads/training-demos/Kimray%20How%20to%20Read%20an%20Oil%20&%20Gas%20P&ID%20Reference%20Guide.pdf,PDF,Copyright Kimray Inc. (All rights reserved),NO,"0.35 MB (351,028 bytes)","Educational training PDF illustrating ISA-5.1 symbol usage; reference document only, not a downloadable 3D asset."
ISA-5.1 Standards Committee Portal,https://www.isa.org/standards-and-publications/isa-standards/isa-standards-committees/isa5-1,"HTML, Standard Publication",Copyright International Society of Automation (ISA),NO,N/A (Webpage),Official standards committee page; full ISA standard documents require paid institutional purchase.
ambientCG PBR Materials Main Library,https://ambientcg.com/,"JPG, PNG, blend, USDC, MTLX (1K-8K)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"Varies (2,000+ asset packs, ~3-50 MB each)","Public domain repository containing 2,000+ seamless PBR texture sets with complete PBR map channels; completely free for commercial and personal use."
ambientCG Metal Category Catalog,https://ambientcg.com/list?category=Metal,"JPG, PNG, blend, USDC, MTLX (1K-8K)",Creative Commons CC0 1.0 Universal (Public Domain),YES,Varies (~3.5 MB per 1K pack),Catalog of CC0 industrial metal PBR materials; source repository for Metal032 through Metal063 variants cited in Blueprint Section 7.
ambientCG Metal032 (Machined Smooth Steel),https://ambientcg.com/view?id=Metal032,"JPG, PNG, blend, USDC, MTLX (1K PBR Maps: Color, NormalDX, NormalGL, Roughness, Displacement, Metalness)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"3.65 MB (3,650,556 bytes zip, 11 files)",Downloaded to assets/turbine_rebuild/textures/Metal032/ and mirrored in assets/downloads/textures/; pristine machined steel for shaft and journal bearings.
ambientCG Metal041A (Semi-Gloss Painted Metal),https://ambientcg.com/view?id=Metal041A,"JPG, blend, USDC, MTLX (1K PBR Maps: Color, NormalDX, NormalGL, Roughness, Displacement, Metalness)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"4.33 MB (4,330,718 bytes zip)",Downloaded and extracted; painted semi-gloss dark metal for gearbox and dynamometer outer casing.
ambientCG Metal046A (Heavy Industrial Painted Steel),https://ambientcg.com/view?id=Metal046A,"JPG, blend, USDC, MTLX (1K PBR Maps: Color, NormalDX, NormalGL, Roughness, Displacement, Metalness)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"5.49 MB (5,488,016 bytes zip)",Downloaded and extracted; industrial equipment enamel finish for turbine casing and mounting pedestals.
ambientCG Metal048A (Dark Industrial Cast Steel),https://ambientcg.com/view?id=Metal048A,"JPG, blend, USDC, MTLX (1K PBR Maps: Color, NormalDX, NormalGL, Roughness, Displacement, Metalness)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"2.60 MB (2,595,307 bytes zip)",Downloaded and extracted; dark cast steel texture with micro-pitting for wheel-case body and pipe flanges.
ambientCG Metal049A (Galvanized Steel Sheet),https://ambientcg.com/view?id=Metal049A,"JPG, blend, USDC, MTLX (1K PBR Maps: Color, NormalDX, NormalGL, Roughness, Displacement, Metalness)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"2.74 MB (2,744,738 bytes zip)",Downloaded and extracted; galvanized protective steel cladding for rig shielding and drain pot enclosures.
ambientCG Metal050A (Brushed Stainless Steel),https://ambientcg.com/view?id=Metal050A,"JPG, blend, USDC, MTLX (1K PBR Maps: Color, NormalDX, NormalGL, Roughness, Displacement, Metalness)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"2.65 MB (2,648,186 bytes zip)","Downloaded and extracted; fine directional brushed stainless steel for actuator stems, valve bonnets, and probe fittings."
ambientCG Metal053A (Structural Steel Plate),https://ambientcg.com/view?id=Metal053A,"JPG, blend, USDC, MTLX (1K PBR Maps: Color, NormalDX, NormalGL, Roughness, Displacement, Metalness)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"3.10 MB (3,101,004 bytes zip)",Downloaded and extracted; treated structural steel plate for test train soleplate / baseplate.
ambientCG Metal055A (Industrial Tread Plate / Grating),https://ambientcg.com/view?id=Metal055A,"JPG, blend, USDC, MTLX (1K PBR Maps: Color, NormalDX, NormalGL, Roughness, Displacement, Metalness)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"4.28 MB (4,280,189 bytes zip)",Downloaded and extracted; patterned steel plate for floor decking and test skid walkways.
ambientCG Metal061A (Weathered Oxidized Steel),https://ambientcg.com/view?id=Metal061A,"JPG, blend, USDC, MTLX (1K PBR Maps: Color, NormalDX, NormalGL, Roughness, Displacement, Metalness)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"3.54 MB (3,536,629 bytes zip)",Downloaded and extracted; weathered industrial steel with light oxidation for steam exhaust line and drains.
ambientCG Metal062A (Heavy Cast Iron),https://ambientcg.com/view?id=Metal062A,"JPG, blend, USDC, MTLX (1K PBR Maps: Color, NormalDX, NormalGL, Roughness, Displacement, Metalness)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"2.63 MB (2,628,395 bytes zip)",Downloaded and extracted; heavy granular cast iron for bearing housings and gearbox lower casing.
ambientCG Metal063 (Forged Machine Steel),https://ambientcg.com/view?id=Metal063,"JPG, blend, USDC, MTLX (1K PBR Maps: Color, NormalDX, NormalGL, Roughness, Displacement, Metalness)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"5.62 MB (5,620,613 bytes zip)",Downloaded and extracted; raw forged industrial alloy for shaft couplings and high-pressure steam flanges.
ambientCG CorrugatedSteel009 (Corrugated Industrial Sheet),https://ambientcg.com/view?id=CorrugatedSteel009,"JPG, blend, USDC, MTLX (1K PBR Maps: Color, NormalDX, NormalGL, Roughness, Displacement, Metalness)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"3.91 MB (3,912,365 bytes zip)",Downloaded and extracted; corrugated steel profile referenced in Section 7 for test-cell enclosure panels.
Poly Haven Metal Textures Collection,https://polyhaven.com/textures/metal,"JPG, PNG, blend, glTF, EXR",Creative Commons CC0 1.0 Universal (Public Domain),YES,Varies (~2 MB - 35 MB per pack),Photogrammetric CC0 material collection; unencumbered public domain PBR textures with glTF native support.
Poly Haven painted_metal_shutter,https://polyhaven.com/a/painted_metal_shutter,"blend, glTF, JPG (1K Diffuse, nor_gl, arm, rough)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"2.17 MB (5 files: blend, gltf, nor_gl, arm, diff)",Downloaded into assets/turbine_rebuild/textures/polyhaven/painted_metal_shutter/ and mirrored in assets/downloads/; painted metal for equipment panels.
Poly Haven factory_wall,https://polyhaven.com/a/factory_wall,"blend, glTF, JPG (1K Diffuse, nor_gl, arm, rough)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"0.97 MB (5 files: blend, gltf, nor_gl, arm, diff)",Downloaded into assets/turbine_rebuild/textures/polyhaven/factory_wall/ and mirrored; realistic industrial test facility wall background.
Poly Haven green_metal_rust,https://polyhaven.com/a/green_metal_rust,"blend, glTF, JPG (1K Diffuse, nor_gl, arm, rough)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"0.71 MB (5 files: blend, gltf, nor_gl, arm, diff)","Downloaded into assets/turbine_rebuild/textures/polyhaven/green_metal_rust/ and mirrored; machinery green paint with minor oxidation, echoing factory equipment."
Poly Haven metal_plate,https://polyhaven.com/a/metal_plate,"blend, glTF, JPG (1K Diffuse, nor_gl, arm, rough)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"2.64 MB (5 files: blend, gltf, nor_gl, arm, diff)",Downloaded into assets/turbine_rebuild/textures/polyhaven/metal_plate/ and mirrored; heavy industrial steel plate for baseplate / soleplate.
Poly Haven metal_grate_rusty,https://polyhaven.com/a/metal_grate_rusty,"blend, glTF, JPG (1K Diffuse, nor_gl, arm, rough)",Creative Commons CC0 1.0 Universal (Public Domain),YES,"2.97 MB (5 files: blend, gltf, nor_gl, arm, diff)",Downloaded into assets/turbine_rebuild/textures/polyhaven/metal_grate_rusty/ and mirrored; industrial grated steel for test bay drainage platform.
Cinevva Free Metal Textures (Seamless PBR),https://app.cinevva.com/game-assets/free-metal-textures,"PNG, JPG PBR",Creative Commons CC0 (Public Domain mirror),NO,N/A,Web portal listing CC0 seamless metal textures; access blocked by network security policy (categorized as Games).
Poly Haven HDRIs Collection,https://polyhaven.com/hdris,"HDR, EXR (1K, 2K, 4K, 8K)",Creative Commons CC0 1.0 Universal (Public Domain),YES,Varies (~1.5 MB - 50 MB per file),Collection of 32-bit floating point high dynamic range spherical environment maps for realistic PBR IBL reflections in Babylon.js.
Poly Haven aerodynamics_workshop (Industrial Workshop HDRI),https://polyhaven.com/a/aerodynamics_workshop,HDR (1K),Creative Commons CC0 1.0 Universal (Public Domain),YES,"1.49 MB (1,488,808 bytes)",Downloaded to assets/turbine_rebuild/hdri/ and mirrored in assets/downloads/hdri/; engineering test bay lighting matching turbine test-cell reflections.
Poly Haven empty_workshop (Workshop HDRI),https://polyhaven.com/a/empty_workshop,HDR (1K),Creative Commons CC0 1.0 Universal (Public Domain),YES,"1.72 MB (1,719,455 bytes)",Downloaded to assets/turbine_rebuild/hdri/ and mirrored; clean industrial workshop with green floor hues matching Triveni test facility.
Poly Haven aircraft_workshop_01 (Industrial Test Hall HDRI),https://polyhaven.com/a/aircraft_workshop_01,HDR (1K),Creative Commons CC0 1.0 Universal (Public Domain),YES,"1.77 MB (1,771,415 bytes)",Downloaded to assets/turbine_rebuild/hdri/ and mirrored; large high-bay industrial hangar lighting with diffuse overhead skylights.
ambientCG HDRIs Collection,https://ambientcg.com/list?category=HDRI,"HDR, EXR (1K, 2K, 4K, 8K)",Creative Commons CC0 1.0 Universal (Public Domain),YES,Varies (~1.5 MB - 40 MB per file),Spherical HDR environment maps licensed CC0 Public Domain for industrial scene reflection and ambient PBR lighting.
